match_id,battle_id,order,camp,type,hero
2026011701,48251408_64_1768629795,15,1,ban,狂铁
2026011701,48251408_64_1768629795,16,2,pick,夏洛特
2026011701,48251408_64_1768629795,17,1,pick,大司命
2026011701,48251408_64_1768629795,18,1,pick,影
2026011701,48251408_64_1768629795,19,2,pick,宫本武藏
2026011401,48251408_32_1768375305,0,1,ban,狄仁杰
2026011401,48251408_32_1768375305,1,2,ban,鲁班大师
2026011401,48251408_32_1768375305,2,1,ban,苏烈
2026011401,48251408_32_1768375305,3,2,ban,盾山
2026011401,48251408_32_1768375305,4,1,pick,空空儿
2026011401,48251408_32_1768375305,5,2,pick,公孙离
2026011401,48251408_32_1768375305,6,2,pick,元流之子(坦克)
2026011401,48251408_32_1768375305,7,1,pick,小乔
2026011401,48251408_32_1768375305,8,1,pick,戈娅
2026011401,48251408_32_1768375305,9,2,pick,海诺
2026011401,48251408_32_1768375305,10,2,ban,大司命
2026011401,48251408_32_1768375305,11,1,ban,张飞
2026011401,48251408_32_1768375305,12,2,ban,夏侯惇
2026011401,48251408_32_1768375305,13,1,ban,廉颇
2026011401,48251408_32_1768375305,14,2,ban,暃
2026011401,48251408_32_1768375305,15,1,ban,大乔
2026011401,48251408_32_1768375305,16,2,pick,曹操
2026011401,48251408_32_1768375305,17,1,pick,司空震
2026011401,48251408_32_1768375305,18,1,pick,娜可露露
2026011401,48251408_32_1768375305,19,2,pick,太乙真人
2026011803,1222656528_15_1768744982,0,1,ban,公孙离
2026011803,1222656528_15_1768744982,1,2,ban,盾山
2026011803,1222656528_15_1768744982,2,1,ban,苏烈
2026011803,1222656528_15_1768744982,3,2,ban,鲁班大师
2026011803,1222656528_15_1768744982,4,1,pick,海月
2026011803,1222656528_15_1768744982,5,2,pick,小乔
2026011803,1222656528_15_1768744982,6,2,pick,狂铁
2026011803,1222656528_15_1768744982,7,1,pick,杨戬
2026011803,1222656528_15_1768744982,8,1,pick,朵莉亚
2026011803,1222656528_15_1768744982,9,2,pick,夏侯惇
2026011803,1222656528_15_1768744982,10,2,ban,关羽
2026011803,1222656528_15_1768744982,11,1,ban,东皇太一
2026011803,1222656528_15_1768744982,12,2,ban,戈娅
2026011803,1222656528_15_1768744982,13,1,ban,张良
2026011803,1222656528_15_1768744982,14,2,ban,马超
2026011803,1222656528_15_1768744982,15,1,ban,太乙真人
2026011803,1222656528_15_1768744982,16,2,pick,狄仁杰
2026011803,1222656528_15_1768744982,17,1,pick,鲁班七号
2026011803,1222656528_15_1768744982,18,1,pick,夏洛特
2026011803,1222656528_15_1768744982,19,2,pick,钟馗
2026012403,48251408_49_1769260594,0,1,ban,曹操
2026012403,48251408_49_1769260594,1,2,ban,狂铁
2026012403,48251408_49_1769260594,2,1,ban,张飞
2026012403,48251408_49_1769260594,3,2,ban,鲁班大师
2026012403,48251408_49_1769260594,4,1,pick,空空儿
2026012403,48251408_49_1769260594,5,2,pick,沈梦溪
2026012403,48251408_49_1769260594,6,2,pick,公孙离
2026012403,48251408_49_1769260594,7,1,pick,戈娅
2026012403,48251408_49_1769260594,8,1,pick,不知火舞
2026012403,48251408_49_1769260594,9,2,pick,苏烈
2026012403,48251408_49_1769260594,10,2,ban,大司命
2026012403,48251408_49_1769260594,11,1,ban,哪吒
2026012403,48251408_49_1769260594,12,2,ban,橘右京
2026012403,48251408_49_1769260594,13,1,ban,杨戬
2026012403,48251408_49_1769260594,14,2,ban,元流之子(坦克)
2026012403,48251408_49_1769260594,15,1,ban,夏侯惇
2026012403,48251408_49_1769260594,16,2,pick,司空震
2026012403,48251408_49_1769260594,17,1,pick,蒙恬
2026012403,48251408_49_1769260594,18,1,pick,暃
2026012403,48251408_49_1769260594,19,2,pick,猪八戒
2026011701,48251408_65_1768632228,0,1,ban,空空儿
2026011701,48251408_65_1768632228,1,2,ban,沈梦溪
2026011701,48251408_65_1768632228,2,1,ban,元流之子(辅助)
2026011701,48251408_65_1768632228,3,2,ban,鲁班大师
2026011701,48251408_65_1768632228,4,1,pick,盾山
2026011701,48251408_65_1768632228,5,2,pick,苏烈
2026011701,48251408_65_1768632228,6,2,pick,蚩奼
