match_id,battle_id,team,player,hero,kill,death,assist,kda,gold,win
2026011803,1222656528_12_1768738546,长沙TES.A,安七,暃,2,0,7,9.0,12140,1
2026011803,1222656528_12_1768738546,北京WB,玖欣,空空儿,1,3,3,1.3,6982,0
2026011803,1222656528_12_1768738546,北京WB,小麦,戈娅,2,1,2,4.0,9977,0
2026011803,1222656528_12_1768738546,北京WB,梓墨,影,0,3,2,0.7,8184,0
2026011803,1222656528_12_1768738546,长沙TES.A,景诗,海诺,1,0,7,8.0,9369,1
2026011803,1222656528_12_1768738546,北京WB,暖阳,橘右京,1,2,1,1.0,10281,0
2026011701,48251408_66_1768633817,佛山DRG,小小阳,裴擒虎,2,2,4,3.0,17234,1
2026011701,48251408_66_1768633817,佛山DRG,花缘,狂铁,1,1,9,10.0,12436,1
2026011701,48251408_66_1768633817,武汉eStarPro,亮宇,狄仁杰,2,4,3,1.3,14067,0
2026011701,48251408_66_1768633817,武汉eStarPro,Fly,夏洛特,1,3,2,1.0,13575,0
2026011701,48251408_66_1768633817,佛山DRG,呆呆,鲁班大师,1,2,11,6.0,10441,1
2026011701,48251408_66_1768633817,武汉eStarPro,小楼,橘右京,1,2,3,2.0,16221,0
2026011701,48251408_66_1768633817,武汉eStarPro,紫渊,张飞,1,2,5,3.0,10467,0
2026011701,48251408_66_1768633817,佛山DRG,梦岚,敖隐,3,0,7,10.0,16092,1
2026011701,48251408_66_1768633817,佛山DRG,柚子,嬴政,5,1,7,12.0,12809,1
2026011701,48251408_66_1768633817,武汉eStarPro,Ming,沈梦溪,1,1,2,3.0,12352,0
2026011701,48251408_67_1768636317,佛山DRG,小小阳,元流之子(坦克),1,1,5,6.0,6982,1
2026011701,48251408_67_1768636317,佛山DRG,花缘,曹操,1,0,6,7.0,8555,1
2026011701,48251408_67_1768636317,武汉eStarPro,亮宇,公孙离,1,2,0,0.5,8706,0
2026011701,48251408_67_1768636317,武汉eStarPro,Fly,马超,0,2,1,0.5,6896,0
2026011701,48251408_67_1768636317,佛山DRG,呆呆,太乙真人,1,0,7,8.0,6323,1
2026011701,48251408_67_1768636317,武汉eStarPro,小楼,铠,0,1,1,1.0,6586,0
2026011701,48251408_67_1768636317,武汉eStarPro,紫渊,少司缘,0,2,1,0.5,5692,0
2026011701,48251408_67_1768636317,佛山DRG,梦岚,孙尚香,4,0,4,8.0,10027,1
2026011701,48251408_67_1768636317,佛山DRG,柚子,女娲,2,0,6,8.0,6800,1
2026011701,48251408_67_1768636317,武汉eStarPro,Ming,嬴政,0,2,1,0.5,5608,0
2026011701,48251408_64_1768629795,佛山DRG,小小阳,宫本武藏,1,5,3,0.8,13288,0
2026011701,48251408_64_1768629795,佛山DRG,花缘,夏洛特,1,1,1,2.0,15607,0
2026011701,48251408_64_1768629795,武汉eStarPro,亮宇,戈娅,8,2,3,5.5,17927,1
2026011701,48251408_64_1768629795,武汉eStarPro,Fly,影,3,1,6,9.0,15123,1
2026011701,48251408_64_1768629795,佛山DRG,呆呆,张飞,1,4,5,1.5,10461,0
2026011701,48251408_64_1768629795,武汉eStarPro,小楼,大司命,2,0,6,8.0,14403,1
2026011701,48251408_64_1768629795,武汉eStarPro,紫渊,空空儿,0,1,11,11.0,10435,1
2026011701,48251408_64_1768629795,佛山DRG,梦岚,公孙离,3,1,2,5.0,15765,0
2026011701,48251408_64_1768629795,佛山DRG,柚子,沈梦溪,0,2,3,1.5,11642,0
2026011701,48251408_64_1768629795,武汉eStarPro,Ming,小乔,0,2,8,4.0,11456,1
2026011401,48251408_32_1768375305,北京JDG,绝意,公孙离,3,0,2,5.0,10261,1
2026011401,48251408_32_1768375305,北京JDG,无畏,太乙真人,0,0,5,5.0,6402,1
2026011401,48251408_32_1768375305,武汉eStarPro,亮宇,戈娅,0,1,2,2.0,8166,0
2026011401,48251408_32_1768375305,武汉eStarPro,Fly,司空震,0,1,1,1.0,6891,0
2026011401,48251408_32_1768375305,北京JDG,轻语,曹操,2,1,3,5.0,8445,1
2026011401,48251408_32_1768375305,武汉eStarPro,小楼,娜可露露,2,2,0,1.0,7939,0
2026011401,48251408_32_1768375305,武汉eStarPro,紫渊,空空儿,0,1,2,2.0,5338,0
2026011401,48251408_32_1768375305,北京JDG,无双,元流之子(坦克),0,1,3,3.0,7959,1
2026011401,48251408_32_1768375305,北京JDG,清融,海诺,1,0,4,5.0,8190,1
2026011401,48251408_32_1768375305,武汉eStarPro,Ming,小乔,0,1,2,2.0,5405,0
2026011803,1222656528_15_1768744982,长沙TES.A,帆帆,朵莉亚,0,5,2,0.4,5317,0
2026011803,1222656528_15_1768744982,长沙TES.A,蓝桉,鲁班七号,2,3,1,1.0,8429,0
2026011803,1222656528_15_1768744982,长沙TES.A,无幻,夏洛特,1,4,2,0.8,7113,0
2026011803,1222656528_15_1768744982,北京WB,听悦,小乔,5,0,9,14.0,8515,1
2026011803,1222656528_15_1768744982,长沙TES.A,安七,杨戬,1,6,3,0.7,6776,0
2026011803,1222656528_15_1768744982,北京WB,玖欣,钟馗,2,3,15,5.7,6613,1
2026011803,1222656528_15_1768744982,北京WB,小麦,狄仁杰,7,1,12,19.0,10201,1
2026011803,1222656528_15_1768744982,北京WB,梓墨,狂铁,0,0,12,12.0,9125,1
2026011803,1222656528_15_1768744982,长沙TES.A,景诗,海月,0,2,4,2.0,5684,0
2026011803,1222656528_15_1768744982,北京WB,暖阳,夏侯惇,6,0,10,16.0,9601,1
2026012403,48251408_49_1769260594,无锡TCG,光明,蒙恬,0,0,5,5.0,7661,1
2026012403,48251408_49_1769260594,无锡TCG,安凉,暃,5,0,1,6.0,11794,1
2026012403,48251408_49_1769260594,北京WB,听悦,沈梦溪,0,0,0,0.0,7016,0
2026012403,48251408_49_1769260594,无锡TCG,北觅,戈娅,2,0,5,7.0,11327,1
2026012403,48251408_49_1769260594,北京WB,玖欣,苏烈,0,3,0,0.0,5597,0
2026012403,48251408_49_1769260594,北京WB,小麦,公孙离,0,2,0,0.0,8746,0
2026012403,48251408_49_1769260594,无锡TCG,清弦,不知火舞,0,0,6,6.0,7548,1
2026012403,48251408_49_1769260594,北京WB,梓墨,司空震,0,1,0,0.0,8560,0
2026012403,48251408_49_1769260594,北京WB,暖阳,猪八戒,0,2,0,0.0,6941,0
2026012403,48251408_49_1769260594,无锡TCG,数字,空空儿,1,0,7,8.0,6830,1
2026011701,48251408_65_1768632228,佛山DRG,小小阳,暃,4,0,6,10.0,9191,1
2026011701,48251408_65_1768632228,佛山DRG,花缘,关羽,3,0,4,7.0,8006,1
2026011701,48251408_65_1768632228,武汉eStarPro,亮宇,艾琳,0,3,0,0.0,5473,0
2026011701,48251408_65_1768632228,武汉eStarPro,Fly,曹操,0,0,0,0.0,5172,0
2026011701,48251408_65_1768632228,佛山DRG,呆呆,苏烈,1,0,8,9.0,4971,1
2026011701,48251408_65_1768632228,武汉eStarPro,小楼,夏侯惇,0,2,0,0.0,5294,0
2026011701,48251408_65_1768632228,武汉eStarPro,紫渊,盾山,0,2,0,0.0,4390,0
2026011701,48251408_65_1768632228,佛山DRG,梦岚,蚩奼,1,0,7,8.0,7142,1
2026011701,48251408_65_1768632228,佛山DRG,柚子,西施,1,0,3,4.0,5212,1
2026011701,48251408_65_1768632228,武汉eStarPro,Ming,杨玉环,0,3,0,0.0,5260,0
