league_id,hero_name,battle_count,win_rate,avg_kda,ban_rate,pick_rate
20250004,蚩奼,52,0.3846,3.5558,0.2241,0.2989
20250004,桑启,2,0.5,2.9,0.0,0.0115
20250004,王昭君,9,0.6667,6.6667,0.0172,0.0517
20250004,暃,14,0.5714,6.1643,0.1092,0.0805
20250004,公孙离,59,0.5254,3.9102,0.1322,0.3333
20250004,沈梦溪,69,0.4783,4.7029,0.3046,0.3621
20250004,司空震,36,0.5,3.7,0.1379,0.2069
20250004,张良,8,0.625,6.15,0.069,0.046
20250004,老夫子,4,0.25,2.15,0.0632,0.023
20250004,大乔,1,1.0,2.7,0.0115,0.0057
20250004,曹操,65,0.4308,3.5062,0.2414,0.3506
20250004,武则天,7,0.7143,7.4286,0.0115,0.0402
20250004,狄仁杰,26,0.4615,4.0769,0.0805,0.1494
20250004,孙膑,1,1.0,8.0,0.0172,0.0057
20250004,廉颇,10,0.5,5.59,0.023,0.0575
20250004,露娜,1,1.0,4.0,0.0,0.0057
20250004,张飞,36,0.4444,4.0917,0.1782,0.2069
20250004,元流之子(坦克),38,0.5789,4.1421,0.2069,0.2184
20250004,海月,20,0.45,3.575,0.5805,0.1149
20250004,后羿,5,0.6,5.0,0.0747,0.0287
20250004,云缨,1,0.0,0.0,0.0,0.0057
20250004,姬小满,9,0.4444,3.1111,0.0057,0.0517
20250004,西施,14,0.3571,3.7571,0.2471,0.0805
20250004,达摩,9,0.3333,2.7667,0.0345,0.0517
20250004,阿古朵,21,0.4762,4.5619,0.0862,0.1207
20250004,朵莉亚,30,0.5,5.0133,0.023,0.1724
20250004,虞姬,13,0.4615,3.2154,0.023,0.0747
20250004,孙尚香,23,0.4348,3.9261,0.0402,0.1322
20250004,宫本武藏,9,0.2222,2.2444,0.0862,0.0517
20250004,哪吒,13,0.3077,1.8615,0.1494,0.0747
20250004,百里守约,4,0.5,3.875,0.0172,0.023
20250004,干将莫邪,3,0.3333,3.0,0.0115,0.0172
20250004,马超,28,0.5714,4.4179,0.0977,0.1609
20250004,空空儿,41,0.4146,4.4659,0.5402,0.2356
20250004,影,26,0.5385,4.1654,0.0345,0.1494
20250004,猪八戒,8,0.5,2.0375,0.0057,0.046
20250004,貂蝉,1,0.0,0.5,0.0,0.0057
20250004,元流之子(辅助),2,0.5,2.65,0.0057,0.0115
20250004,蔡文姬,1,0.0,0.5,0.0115,0.0057
20250004,大司命,53,0.5094,3.9094,0.3103,0.2989
20250004,夏洛特,49,0.6122,4.4714,0.092,0.2816
20250004,安琪拉,20,0.5,4.125,0.0287,0.1149
20250004,太乙真人,31,0.5484,4.6258,0.0517,0.1782
20250004,曜,4,1.0,7.425,0.0057,0.023
20250004,庄周,5,0.2,6.0,0.0115,0.0287
20250004,弈星,1,0.0,0.0,0.0057,0.0057
20250003,太乙真人,45,0.4889,4.5844,0.0759,0.1899
20250003,公孙离,72,0.4167,3.7569,0.2658,0.3038
20250003,孙权,14,0.4286,4.4,0.0211,0.0591
20250003,海月,36,0.5278,3.8111,0.4979,0.1519
20250003,夏洛特,74,0.4189,3.0486,0.173,0.3122
20250003,裴擒虎,53,0.6038,4.6906,0.2025,0.2236
20250003,宫本武藏,4,0.5,3.7,0.0211,0.0169
20250003,牛魔,5,0.4,4.48,0.0,0.0211
20250003,艾琳,32,0.5313,4.0313,0.0464,0.135
20250003,孙尚香,51,0.6863,4.7784,0.0422,0.2152
20250003,吕布,6,0.8333,4.4667,0.0422,0.0253
20250003,杨玉环,27,0.5185,5.8963,0.038,0.1139
20250003,鲁班七号,37,0.4324,3.2486,0.0295,0.1519
20250003,朵莉亚,39,0.4615,5.2821,0.0464,0.1646
20250003,马超,32,0.375,3.475,0.0717,0.135
20250003,司空震,38,0.5263,3.4842,0.1013,0.1603
20250003,铠,52,0.4038,3.7885,0.2278,0.2194
20250003,橘右京,19,0.5263,3.5474,0.0928,0.0802
20250003,甄姬,32,0.5625,4.2563,0.1688,0.135
20250003,孙膑,4,0.25,2.0,0.0084,0.0169
20250003,张飞,31,0.6129,4.8613,0.1308,0.1308
20250003,镜,42,0.4286,4.119,0.3713,0.1772
20250003,空空儿,49,0.6735,6.6102,0.5316,0.2068
20250003,夏侯惇,37,0.5676,4.0946,0.097,0.1561
20250003,安琪拉,25,0.36,3.8,0.0464,0.1055
20250003,娜可露露,19,0.3684,2.4368,0.1055,0.0802
20250003,伽罗,3,0.3333,4.0,0.0211,0.0127
20250003,沈梦溪,78,0.5,4.9872,0.4008,0.3165
20250003,苏烈,70,0.5143,4.54,0.135,0.2954
20250003,盾山,47,0.5532,4.5489,0.2574,0.1983
20250003,狂铁,67,0.5373,3.7358,0.3249,0.2827
20250003,廉颇,15,0.4667,3.38,0.0211,0.0633
20250003,钟馗,1,0.0,1.0,0.0,0.0042
20250003,小乔,44,0.4091,3.5864,0.097,0.1857
20250003,敖隐,39,0.5897,4.9436,0.1857,0.1646
20250003,元流之子(射手),4,0.0,1.2,0.0,0.0169
20250003,嫦娥,18,0.3333,4.0556,0.0464,0.0759
20250003,大司命,62,0.5323,4.6935,0.2869,0.2616
20250003,女娲,64,0.6719,5.6828,0.2954,0.27
20250003,蚩奼,46,0.5217,4.2891,0.097,0.1941
20250003,孙策,3,0.3333,4.7667,0.0169,0.0127
20250003,武则天,4,1.0,10.0,0.0042,0.0169
